time,open,high,low,close,Volume
1700632800,9.31999063,9.35999092,9.00665793,9.00665793,4480177.34577203
1700719200,9.03332457,9.59999035,9.03332457,9.19999108,9507027.22181641
1700805600,9.19999108,9.31999063,9.05332455,9.07999119,5660273.49046529
1701064800,9.14665813,9.43999084,9.09999084,9.15999111,4254601.12696309
1701151200,9.19999108,9.25332436,8.88665805,8.88665805,6554199.35757338
1701237600,8.90665769,9.15999111,8.50665842,8.50665842,6366837.17583206
1701324000,8.56665869,9.05999121,8.54665804,8.7266582,5308592.14933439
1701410400,8.86665807,8.99332461,8.71332455,8.77999148,3791217.67748115
1701669600,8.79999146,8.85332441,8.53999205,8.70665855,3540015.43381497
1701756000,8.81332512,8.99999127,8.62665797,8.79999146,5551322.38478271
1701842400,8.83332477,9.2399907,8.7333252,8.83332477,10643740.32442812
1701928800,8.83999143,8.8999917,8.5599917,8.66665826,4643239.50394232
1702015200,8.69999156,8.87332506,8.45999146,8.49999176,5421506.25886107
1702274400,8.54665804,8.63332496,8.08665882,8.08665882,5405873.24369705
1702360800,8.09999181,8.1799924,7.96665894,8.01332589,5144938.99059082
1702447200,8.01999189,8.09999181,7.43999278,7.46665942,4719790.57819686
1702533600,7.75332581,7.86665904,7.33999288,7.73332617,3487164.38254945
1702620000,7.73332617,7.98665859,7.69999253,7.84665939,2972444.88327154
1702879200,7.84665939,8.03332554,7.52665937,7.52665937,2397542.32561606
1702965600,7.56665966,7.73332617,7.3866595,7.63332593,2422994.35030452
1703052000,7.63332593,7.70665952,7.29999292,7.36665952,2468504.39444926
1703138400,7.39999316,7.71999251,7.03332651,7.63999259,5256332.09864214
1703224800,7.63332593,7.66665923,7.2533263,7.25999329,2475974.40169517
1703484000,7.25999329,7.32665956,6.55666031,6.70666049,3742059.62979784
1703570400,6.70666049,6.92666028,6.63999356,6.75332678,2570177.49307217
1703656800,6.81999305,7.08665979,6.73332714,6.99999321,2815478.73101437
1703743200,6.97332657,7.4199928,6.93999327,6.99332655,5126419.97262737
1703829600,6.99332655,7.33332622,6.89999364,7.26665928,3156282.0615936
1704175200,7.29999292,7.70665952,7.29999292,7.63332593,3537675.43154517
1704261600,7.63332593,7.71332552,7.27332628,7.39999316,3626295.51750665
1704348000,7.35332587,7.60665929,7.2533263,7.54665901,3589737.48204536
1704434400,7.54665901,7.75332581,7.46665942,7.62665894,3889461.77277792
1704693600,7.66665923,7.85999238,7.5933263,7.67332589,8364497.1135622
1704780000,7.63999259,7.95332595,7.3866595,7.43999278,10147842.84340756
1704866400,7.44665944,7.66665923,7.4266598,7.50665939,4662547.5226711
1704952800,7.52665937,7.70665952,7.49999272,7.56665966,3814245.69981833
1705039200,7.46665942,7.79999243,7.33332622,7.75332581,5992121.81235816
1705298400,7.75999281,7.9333253,7.66665923,7.7666588,3499833.39483839
1705384800,7.7666588,8.29332496,7.72665917,7.94665896,9088142.81549853
1705471200,7.94665896,8.08665882,7.8399924,7.94665896,3758241.6454944
1705557600,7.95332595,8.09999181,7.87332603,7.9399923,5792966.61917762
1705644000,7.9333253,8.07999216,7.86665904,8.02665888,7198614.98265653
1705903200,8.12665845,8.19332539,7.89999267,8.18665839,7694860.46401465
1705989600,8.33332525,8.8266581,7.99332558,8.09999181,21752796.10021222
1706076000,8.13332544,8.16665874,7.83332574,7.94665896,7471480.24733584
1706162400,7.97999259,8.05332552,7.89999267,7.9333253,5562692.39581162
1706248800,7.94665896,8.05999218,7.92665931,7.96665894,6993654.78384514
1706508000,8.02665888,8.11332546,7.87999202,7.91999232,7921660.68401086
1706594400,7.96665894,7.9733256,7.63332593,7.73999216,6775281.57202313
1706680800,7.73332617,7.7666588,7.58665931,7.63332593,5458859.29509352
1706767200,7.71999251,7.82665907,7.65999257,7.71332552,6567537.37051125
1706853600,7.73999216,7.81999208,7.50665939,7.5933263,5739257.56707984
1707112800,7.60665929,7.79999243,7.60665929,7.7666588,7359250.13847263
1707199200,7.77999245,8.19999205,7.67332589,8.11332546,13204236.8081097
1707285600,8.15332509,8.39999219,7.99999224,8.1799924,15417818.95528439
1707372000,8.21332503,8.77332482,8.19332539,8.54665804,24324419.59468701
1707458400,8.63999162,8.7266582,8.37332554,8.51332541,7744384.51205298
1707717600,8.56665869,8.68665791,8.39999219,8.54665804,10598338.28038813
1707804000,8.5599917,8.56665869,8.23332568,8.25332533,7504072.27895011
1707890400,8.22665869,8.4866581,8.07999216,8.41999183,7308421.08916846
1707976800,8.49332509,8.85999141,8.43999181,8.61999197,11719646.36805698
1708063200,8.6599916,8.87332506,8.53332506,8.68665791,9024218.75349219
1708322400,8.6933249,8.79999146,8.51332541,8.67332492,10223577.91687058
1708408800,8.70665855,8.99332461,8.47999211,8.6599916,13359465.95868198
1708495200,8.64665861,8.67332492,8.41999183,8.41999183,7317196.09768022
1708581600,8.45332547,8.73999119,8.27332531,8.6599916,7995463.75559984
1708668000,8.6933249,8.85332441,8.59332533,8.63332496,9648915.3594479
1708927200,8.99332461,9.49332412,8.73999119,9.49332412,8307995.05875521
1709013600,10.1666568,10.43998987,9.85332344,10.43998987,10000722.70070102
1709100000,10.83332283,11.47998853,10.63998968,11.47998853,55180751.52532898
1709186400,11.89998879,12.59998744,11.36665497,11.50665551,36635447.53638411
1709272800,11.71332164,12.29332174,10.64665667,11.00665599,39639782.45058898
1709532000,11.95332207,12.10665492,11.37332197,12.10665492,25038264.28711636
