time,open,high,low,close
1691128800,23.4,23.92,23.299999,23.76
1691388000,23.92,24,23.6,23.84
1691474400,23.940001,24.459999,23.52,23.6
1691560800,23.48,24.620001,23.24,24.200001
1691647200,24.379999,24.58,22.879999,22.959999
1691733600,23.02,23.66,22.18,23.52
1691992800,24.52,25.66,24.299999,25.1
1692079200,25.120001,26.1,24.66,25.360001
1692165600,25.24,26.74,25.18,26.120001
1692252000,26.18,26.879999,25.879999,26.74
1692338400,26.9,27.280001,24.24,25
1692597600,25.200001,26.82,25.1,26.42
1692684000,26.42,27,25.26,25.76
1692770400,25.92,26.5,25,25.08
1692856800,25.18,25.559999,23.540001,23.799999
1692943200,23.879999,25.76,23.6,25.440001
1693202400,25.700001,26.34,25.34,25.799999
1693288800,25.82,26.18,25.059999,25.200001
1693461600,25.540001,25.92,24.92,25
1693548000,25.16,26.219999,25.139999,25.82
1693807200,26.32,26.52,25.5,25.74
1693893600,25.74,27.1,25.42,27.02
1693980000,27.48,27.6,26.52,26.84
1694066400,26.860001,27.74,26.82,27.219999
1694152800,27.32,27.4,26.620001,26.700001
1694412000,26.940001,27.34,26.040001,26.200001
1694498400,26.32,26.82,25.719999,26.52
1694584800,26.719999,26.98,25.6,25.76
1694671200,25.76,26.540001,25,26.540001
1694757600,26.559999,26.98,25.76,25.92
1695016800,25.719999,25.9,24.959999,25.120001
1695103200,25.139999,26.18,24.9,26.08
1695189600,26,26.34,25.280001,25.6
1695276000,25.5,26.459999,25.24,26.459999
1695362400,26.4,27.92,26.299999,27.52
1695621600,27.639999,30.26,27.5,30.26
1695708000,31.120001,31.32,29.1,29.26
1695794400,29.32,30.52,28.48,29.92
1695880800,29.9,30.34,29.32,29.440001
1695967200,29.459999,30.059999,29.299999,29.540001
1696226400,29.799999,30.76,29.639999,30.24
1696312800,30.620001,32.220001,30.559999,32.02
1696399200,32.02,32.860001,31,31.219999
1696485600,32.299999,33.139999,31.58,32.599998
1696572000,32.119999,33.02,31.940001,32.299999
1696831200,31.9,32.040001,30.58,30.58
1696917600,31.200001,31.34,30.26,31.1
1697004000,31.08,31.42,29.82,29.879999
1697090400,30.280001,30.379999,28.280001,29.24
1697176800,29.16,29.16,28.34,28.379999
1697436000,28.92,29,27.799999,28
1697522400,28.1,28.92,27.82,28.92
1697608800,28.24,28.58,27.379999,27.379999
1697695200,27.48,27.940001,26.540001,26.799999
1697781600,26.4,26.48,24.82,25.059999
1698040800,25.68,25.719999,24.879999,25.58
1698127200,25.540001,27.120001,25.360001,26.719999
1698213600,26.719999,27.059999,24.440001,24.440001
1698300000,24.58,25.68,24.200001,25.32
1698386400,25.219999,25.52,24.5,25.4
