time,open,high,low,close
1689573600,2.9833214,3.10332109,2.97832159,3.04665465
1689660000,3.11332088,3.3499866,2.96832129,3.14832057
1689746400,3.14498759,3.39665291,2.999988,3.23165357
1689832800,3.32498687,3.55331912,3.32498687,3.55331912
1689919200,3.69998537,3.90665121,3.54665265,3.73998521
1690178400,3.74331819,3.90998419,3.57665219,3.61665237
1690264800,3.61665237,3.64331893,3.38998644,3.4333196
1690351200,3.4333196,3.49665268,3.33998681,3.43665309
1690437600,3.43665309,3.60665207,3.416653,3.54331916
1690524000,3.54331916,3.63331863,3.49665268,3.54998563
1690783200,3.55665244,3.62665216,3.416653,3.4833194
1690869600,3.4833194,3.48998621,3.32665319,3.46665263
1690956000,3.52665256,3.5999856,3.40998619,3.50331932
1691042400,3.50331932,3.5666524,3.41998632,3.43998607
1691128800,3.44331956,3.53331937,3.39331993,3.53331937
1691388000,3.54998563,3.8166514,3.51998609,3.8166514
1691474400,3.8499846,4.19664988,3.82998468,4.19664988
1691560800,4.32664919,4.60331509,4.083317,4.083317
1691647200,4.07998368,4.32998268,3.79998463,3.79998463
1691733600,3.80998493,4.17998328,3.78331837,4.17998328
1691992800,4.40331572,4.59664828,4.40331572,4.59664828
1692079200,4.95331335,5.05331312,4.80331412,5.05331312
1692165600,5.08664632,5.46664463,4.61664837,4.61664837
1692252000,4.583315,4.97997991,4.35664907,4.69331456
1692338400,5.15997919,5.15997919,4.916647,5.15997919
1692597600,5.15997919,5.67331081,4.90331372,5.67331081
1692684000,5.916643,6.23997487,5.88997644,6.23997487
1692770400,6.67330681,6.86330588,6.33997481,6.86330588
1692856800,6.86330588,7.166638,6.17997561,6.34997427
1692943200,6.08664232,6.166642,5.71664363,5.80997693
1693202400,5.67331081,6.27997488,5.38997844,6.09997527
1693288800,5.99664268,6.01664227,5.70331069,5.76664327
1693461600,5.76664327,5.916643,5.50331132,5.84997627
1693548000,5.78664369,5.78664369,5.54997763,5.60997756
1693807200,5.59664461,5.59664461,5.333312,5.47664493
1693893600,5.34997827,5.416645,5.21664563,5.25997879
1693980000,5.22664593,5.78331037,5.15997919,5.78331037
1694066400,5.78331037,5.84331013,5.48331173,5.61997769
1694152800,5.49664468,5.53331137,5.34997827,5.42664513
1694412000,5.20997916,5.44997837,5.20664584,5.28664535
1694498400,5.28331237,5.38664512,5.166646,5.27664556
1694584800,5.27664556,5.34664561,5.01998009,5.06331291
1694671200,4.99998,5.04997963,4.749981,4.96998012
1694757600,4.96998012,5.46331131,4.78664735,5.45331169
1695016800,5.416645,5.416645,5.00664681,5.0666464
1695103200,5.02664656,5.51331161,4.93998007,5.36997869
1695189600,5.416645,5.499978,5.14664591,5.30331212
1695276000,5.28331237,5.57664419,5.06331291,5.34997827
