time,open,high,low,close
1689573600,7.64375,8.05625,7.6375,7.9625
1689660000,8,8.1,7.66875,7.7
1689746400,7.69375,7.80625,7.58125,7.78125
1689832800,7.8625,7.8625,7.60625,7.75
1689919200,7.75,7.75625,7.54375,7.6125
1690178400,7.64375,7.925,7.51875,7.59375
1690264800,7.6125,7.69375,7.33125,7.3875
1690351200,7.3875,7.60625,7.3375,7.59375
1690437600,7.61875,7.71875,7.525,7.53125
1690524000,7.63125,7.7125,7.575,7.5875
1690783200,7.61875,7.8125,7.5875,7.61875
1690869600,7.65,8.29375,7.64375,8.05
1690956000,8.18125,8.3,7.91875,7.9375
1691042400,7.95625,8.1125,7.79375,7.83125
1691128800,7.86875,8.04375,7.8125,7.9875
1691388000,7.6875,7.70625,7.2625,7.34375
1691474400,7.25,7.2875,7,7.08125
1691560800,7.0875,7.33125,7.0875,7.21875
1691647200,7.225,7.24375,6.8125,6.88125
1691733600,6.8875,7.14375,6.75,7.11875
1691992800,7.125,7.18125,6.89375,6.91875
1692079200,6.925,7.05,6.7375,6.85
1692165600,6.85,6.94375,6.7625,6.7625
1692252000,6.7625,6.8875,6.6875,6.7625
1692338400,6.775,6.79375,6.44375,6.54375
1692597600,6.54375,6.9375,6.4875,6.8625
1692684000,6.875,6.88125,6.59375,6.64375
1692770400,6.6625,6.7625,6.49375,6.49375
1692856800,6.5,6.93125,6.43125,6.48125
1692943200,6.525,6.675,6.3625,6.6
1693202400,6.61875,6.75625,6.5375,6.575
1693288800,6.6,6.64375,6.4125,6.45
1693461600,6.4875,6.74375,6.4125,6.59375
1693548000,6.60625,6.64375,6.44375,6.5
1693807200,6.5375,6.6125,6.48125,6.48125
1693893600,6.51875,6.76875,6.49375,6.625
1693980000,6.6875,7.04375,6.63125,6.81875
1694066400,6.95,6.9875,6.675,6.7375
1694152800,6.775,6.8375,6.6125,6.625
1694412000,6.66875,6.73125,6.44375,6.4625
1694498400,6.475,6.58125,6.375,6.38125
1694584800,6.4,6.45625,6.1875,6.2125
1694671200,6.4875,6.6125,5.9825,6.1875
1694757600,6.26875,6.2875,6.0825,6.125
1695016800,6.125,6.1525,5.8,5.8
1695103200,5.8125,5.8975,5.78,5.8375
1695189600,5.84,5.88,5.7,5.7
1695276000,5.7,5.82,5.5525,5.7875
1695362400,5.7875,5.8575,5.6675,5.69
1695621600,5.7,5.7775,5.6375,5.7375
1695708000,5.9475,6.30625,5.8025,6.30625
1695794400,6.35625,6.3625,6.04,6.04
1695880800,6.0575,6.1525,5.93,6.025
1695967200,6.025,6.2375,5.9975,6.1475
1696226400,6.1525,6.1875,6.075,6.08
1696312800,6.0825,6.1475,5.9475,5.9975
1696399200,5.9975,6.0625,5.85,5.8625
1696485600,5.875,5.925,5.725,5.8725
1696572000,5.8175,5.85,5.755,5.7625
1696831200,5.71,5.9,5.635,5.64
1696917600,5.745,5.8075,5.675,5.735
1697004000,5.7225,5.85,5.6625,5.7225
1697090400,5.7675,5.79,5.49,5.655
1697176800,5.655,5.6625,5.465,5.555
1697436000,5.5975,5.68,5.35,5.3575
1697522400,5.3625,5.4675,5.3175,5.4625
1697608800,5.365,5.3725,5.2725,5.35
1697695200,5.3425,5.47,5.235,5.24
1697781600,5.15,5.41,5.115,5.1625
1698040800,5.3025,5.6775,5.1575,5.6775
1698127200,5.6775,6.14,5.63,5.8725
1698213600,5.875,5.8825,5.29,5.3075
1698300000,5.3325,5.575,5.2675,5.4125
1698386400,5.41,5.42,5.23,5.3275
1698645600,5.33,5.7325,5.255,5.485
1698732000,5.5125,5.5475,5.2925,5.345
1698818400,5.365,5.4875,5.26,5.4875
1698904800,5.65,5.7225,5.495,5.535
1698991200,5.5375,5.9275,5.5175,5.7475
1699250400,5.8075,5.9025,5.68,5.7175
1699336800,5.75,5.81,5.5975,5.6125
1699423200,5.6425,5.695,5.535,5.5525
1699509600,5.515,5.5775,5.46,5.54
1699596000,5.535,5.5425,5.445,5.5
1699855200,5.5,5.6025,5.38,5.385
1699941600,5.405,5.475,5.3275,5.4325
1700028000,5.45,5.6475,5.4475,5.55
1700114400,5.525,5.6225,5.485,5.525
1700200800,5.5275,5.5325,5.4575,5.485
1700460000,5.51,5.665,5.505,5.5375
1700546400,5.575,5.6925,5.525,5.5425
1700632800,5.545,5.5675,5.4575,5.4825
1700719200,5.475,5.5525,5.4275,5.4275
1700805600,5.4275,5.5725,5.4275,5.515
1701064800,5.5325,5.925,5.5325,5.83
1701151200,5.8375,6.26875,5.7675,6.1375
1701237600,6.1475,6.425,6.105,6.3875
1701324000,6.3875,6.3875,6.0425,6.235
1701410400,6.38125,6.68125,6.3625,6.5375
1701669600,6.5625,6.825,6.45625,6.69375
1701756000,6.69375,6.75625,6.425,6.48125
1701842400,6.48125,6.49375,6,6
1701928800,6.1025,6.325,5.9875,6.325
1702015200,6.30625,6.55625,6.1675,6.2125
1702274400,6.205,6.28125,5.98,6.1175
1702360800,6.09,6.125,5.9675,5.975
1702447200,5.625,5.7375,5.3775,5.3775
1702533600,5.41,5.42,5.0975,5.3875
1702620000,5.3875,5.4125,5.2275,5.305
1702879200,5.2625,5.385,5.1925,5.1925
1702965600,5.2,5.235,5.005,5.0575
1703052000,5.1725,5.22,5.035,5.035
1703138400,5.035,5.075,4.9175,5.0325
1703224800,5.035,5.0475,4.81,4.825
1703484000,4.8225,4.8225,4.535,4.69
1703570400,4.7,4.8725,4.7,4.765
1703656800,4.7625,4.785,4.5625,4.5625
1703743200,4.5675,4.63,4.525,4.58
1703829600,4.5875,4.6175,4.55,4.555
1704175200,4.57,4.63,4.545,4.5575
1704261600,4.5625,4.695,4.42,4.42
1704348000,4.425,4.5425,4.38,4.5025
1704434400,4.5175,4.615,4.4625,4.5525
1704693600,4.575,4.65,4.5625,4.615
1704780000,4.6325,4.6525,4.4775,4.495
1704866400,4.4875,4.51,4.4125,4.4725
1704952800,4.485,4.5175,4.385,4.385
1705039200,4.3775,4.44,4.325,4.3325
1705298400,4.35,4.405,4.3125,4.365
1705384800,4.3675,4.38,4.305,4.305
1705471200,4.2925,4.3275,4.22,4.22
1705557600,4.34,4.6175,4.3075,4.5025
1705644000,4.54,4.85,4.4825,4.7
1705903200,4.7125,4.925,4.7125,4.7375
1705989600,4.7825,4.795,4.545,4.55
1706076000,4.57,4.6725,4.485,4.595
1706162400,4.605,4.815,4.6,4.7575
1706248800,4.765,4.7975,4.7,4.7575
1706508000,4.7675,4.87,4.72,4.8575
1706594400,4.875,4.9425,4.81,4.8425
1706680800,4.845,4.935,4.8125,4.8125
1706767200,4.825,4.87,4.82,4.8475
1706853600,4.8625,4.8825,4.6825,4.705
1707112800,4.7225,4.9925,4.675,4.8875
1707199200,4.9,5.115,4.8575,4.975
1707285600,4.9925,5.035,4.8925,4.895
1707372000,4.9125,4.9975,4.8925,4.9075
